板块,公司全称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地      区,省    份,城     市,所属行业
主板,珠海港股份有限公司,广东省珠海市南水镇榕湾路16号2001-2号办公,507,珠海港,1993/3/26,"930,424,895","841,203,550",华南,广东,珠海市,G 运输仓储
主板,华塑控股股份有限公司,四川省南充市涪江路117号,509,*ST华塑,1993/5/7,"825,483,117","825,479,873",西南,四川,南充市,C 制造业
主板,四川新金路集团股份有限公司,四川省德阳市泰山南路二段733号银鑫·五洲广场一期21栋22-23层,510,新金路,1993/5/7,"609,182,254","549,479,157",西南,四川,德阳市,C 制造业
主板,丽珠医药集团股份有限公司,广东省珠海市金湾区创业北路38号总部大楼,513,丽珠集团,1993/10/28,"624,950,354","604,999,918",华南,广东,珠海市,C 制造业
主板,重庆渝开发股份有限公司,重庆市渝中区中山三路128号投资大厦25层,514,渝 开 发,1993/7/12,"843,770,965","843,770,965",西南,重庆,重庆市,K 房地产
主板,西安国际医学投资股份有限公司,陕西省西安市高新区团结南路16号保障楼5层,516,国际医学,1993/8/9,"1,971,049,302","1,928,934,684",西北,陕西,西安市,Q 卫生
主板,荣安地产股份有限公司,浙江省宁波市海曙区灵桥路513号(14-12),517,荣安地产,1993/8/6,"3,183,922,485","2,473,357,316",华东,浙江,宁波市,K 房地产
主板,江苏四环生物股份有限公司,江苏省江阴市滨江开发区定山路十号,518,四环生物,1993/9/8,"1,029,556,222","1,029,554,722",华东,江苏,无锡市,C 制造业
主板,中兵红箭股份有限公司,湖南省湘潭国家高新技术产业开发区德国工业园莱茵路1号,519,中兵红箭,1993/10/8,"1,392,558,982","1,391,492,468",华中,湖南,湘潭市,C 制造业
主板,长航凤凰股份有限公司,湖北省武汉市民权路39号汇江大厦,520,长航凤凰,1993/10/25,"1,012,083,455","1,012,069,105",华中,湖北,武汉市,G 运输仓储
主板,长虹美菱股份有限公司,安徽省合肥市经济技术开发区莲花路2163号,521,长虹美菱,1993/10/18,"881,733,881","872,528,625",华东,安徽,合肥市,C 制造业
主板,广州市浪奇实业股份有限公司,广东省广州市天河区临江大道393号501室,523,广州浪奇,1993/11/8,"627,533,125","626,891,476",华南,广东,广州市,C 制造业
主板,广州岭南集团控股股份有限公司,广东省广州市流花路120号,524,岭南控股,1993/11/18,"670,208,597","670,139,867",华南,广东,广州市,H 住宿餐饮
主板,南京红太阳股份有限公司,江苏省南京市高淳区桠溪镇东风路8号,525,红 太 阳,1993/10/28,"580,772,873","574,514,828",华东,江苏,南京市,C 制造业
主板,厦门紫光学大股份有限公司,福建省厦门市湖里区寨上长乐路1号,526,紫光学大,1993/11/1,"96,195,107","96,195,107",华东,福建,厦门市,P 教育
主板,广西柳工机械股份有限公司,广西壮族自治区柳州市柳太路1号,528,柳    工,1993/11/18,"1,475,921,376","1,462,662,579",华南,广西,柳州市,C 制造业
主板,广东广弘控股股份有限公司,广东省广州市天河区广州大道北520号,529,广弘控股,1993/11/18,"583,790,330","569,884,377",华南,广东,广州市,C 制造业
主板,冰山冷热科技股份有限公司,辽宁省大连市经济技术开发区辽河东路106号,530,冰山冷热,1993/12/8,"601,712,507","598,653,628",东北,辽宁,大连市,C 制造业
主板,广州恒运企业集团股份有限公司,广东省广州市萝岗区西基工业区西基路,531,穗恒运Ａ,1994/1/6,"685,082,820","685,082,820",华南,广东,广州市,D 水电煤气
主板,珠海华金资本股份有限公司,广东省珠海市香洲区国家高新区前湾二路2号总部基地一期B栋5楼,532,华金资本,1994/1/3,"344,708,340","343,549,746",华南,广东,珠海市,S 综合
主板,广东顺钠电气股份有限公司,广东省佛山市顺德区大良街道顺峰山工业区,533,顺钠股份,1994/1/3,"690,816,000","684,902,400",华南,广东,佛山市,C 制造业
主板,万泽实业股份有限公司,广东省汕头市珠池路23号光明大厦B幢8楼,534,万泽股份,1994/1/10,"491,785,096","491,507,596",华南,广东,汕头市,C 制造业
主板,华映科技（集团）股份有限公司,福建省福州市马尾区儒江西路6号,536,*ST华映,1993/11/26,"2,766,032,803","2,763,082,516",华东,福建,福州市,C 制造业
主板,天津广宇发展股份有限公司,天津市经济技术开发区新城西路52号6号楼202-4单元,537,广宇发展,1993/12/10,"1,862,520,720","1,731,406,933",华北,天津,天津市,K 房地产
