板块,公司全称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地      区,省    份,城     市,所属行业
主板,中基健康产业股份有限公司,新疆维吾尔自治区五家渠25区青湖南路2666号5幢院落室宾馆A院,972,ST中基,2000/9/26,771283579,771247504,西北,新疆,乌鲁木齐市,制造业
主板,佛山佛塑科技集团股份有限公司,广东省佛山市禅城区汾江中路85号,973,佛塑科技,2000/5/25,967423171,967399968,华南,广东,佛山市,制造业
主板,银泰黄金股份有限公司,内蒙古自治区锡林郭勒盟西乌珠穆沁旗巴拉嘎尔高勒镇哈拉图街,975,银泰黄金,2000/6/8,2776722265,1731406235,华北,内蒙古,锡林郭勒盟,采矿业
主板,广东华铁通达高铁装备股份有限公司,广东省开平市三埠街道办事处祥龙中银路2号三楼A138号330室,976,华铁股份,2000/6/1,1595678796,1594602816,华南,广东,江门市,制造业
主板,浪潮电子信息产业股份有限公司,山东省济南市浪潮路1036号,977,浪潮信息,2000/6/8,1453721310,1452808551,华东,山东,济南市,制造业
主板,桂林旅游股份有限公司,广西壮族自治区桂林市翠竹路27-2号,978,桂林旅游,2000/5/18,360100000,360053425,华南,广西,桂林市,公共环保
主板,众泰汽车股份有限公司,浙江省金华市永康市经济开发区北湖路1号,980,*ST众泰,2000/6/16,2027671288,1240526664,华东,浙江,金华市,制造业
主板,银亿股份有限公司,中国甘肃省兰州市高新技术开发区张苏滩573号八楼,981,*ST银亿,2000/6/22,4027989882,2574315600,西北,甘肃,兰州市,制造业
主板,宁夏中银绒业股份有限公司,宁夏回族自治区灵武生态纺织园区(灵武市南二环北侧经二路东侧),982,*ST 中绒,2000/7/6,4261877053,4261868428,西北,宁夏,银川市,制造业
主板,山西焦煤能源集团股份有限公司,山西省太原市西矿街318号西山大厦,983,山西焦煤,2000/7/26,4096560000,4096531458,华北,山西,太原市,采矿业
主板,大庆华科股份有限公司,黑龙江省大庆高新技术产业开发区建设路293号,985,大庆华科,2000/7/26,129639500,129639500,东北,黑龙江,大庆市,制造业
主板,广州越秀金融控股集团股份有限公司,广东省广州市天河区珠江西路5号广州国际金融中心主塔写字楼第63层01-B单元,987,越秀金控,2000/7/18,2752884754,2667210610,华南,广东,广州市,金融业
